"","reg_num","subj","crse","sect","title","units","instructor","days","start_time","end_time","building","room"
"75","20569","CHEM","394","SL2","Biochemical Methods","0.0","McClard","W","01:10PM","05:00","CHEM","313"
"76","10377","CHIN","110","Y","First Year Chinese","1.0",NA,NA,NA,NA,NA,"Staff           M-T-W-Th-F12:00     VOLLUM  120"
"77","10118","CHIN","210","Y","Second Year Chinese","1.0",NA,NA,NA,NA,NA,"Staff           M-T-W-Th-F12:00     ELIOT   123"
"78","20598","CHIN","311","S","Third Year Chinese","1.0","Wu","M-W-F","09:00AM","09:50","ELIOT","121"
"79","20572","ANTH","369","S","Media  and  Culture Post-MaoChina","1.0","Makley","M-W","03:10PM","04:30","ELIOT","414"
"80","10629","CHIN","316","F","Classical Chinese","1.0","Rhew","M-W-F","09:00AM","09:50","ELIOT","121"
"81","10628","CHIN","321","F","20 Cent Chin Fiction, 1919-49","1.0","Wu","T-Th","02:40PM","04:00","ELIOT","121"
"82","10630","CHIN","326","F","Chinese Narrative Tradition","1.0","Rhew","M-W","03:10PM","04:30","ELIOT","121"
"83","20596","CHIN","334","S","Yijing: Text and Tradition","1.0","Rhew","M-W","03:10PM","04:30","ELIOT","121"
"84","20601","CHIN","341","S","20th Century Chinese Poetry","1.0","Wu","T-Th","02:40PM","04:00","ELIOT","121"
"85","20486","CLAS","363","S","Greek Tragedy","1.0","Englert","M-W-F","12:00PM","12:50","VOLLUM","126"
"86","10489","CLAS","373","F","Ancient History: Rome","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"87","20488","CLAS","374","S","Specl Topics in Roman History","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"88","20503","CRWR","201","S","Intro to Creative Writing","1.0","Hillis","M-W-F","11:00AM","11:50","PHYSIC","121"
"89","10515","CRWR","211","F","Intro Poetry Writing","1.0","Williams","M-W","03:10PM","04:30","PHYSIC","121"
"90","20659","ANTH","372","S","Indians  and  Northrn NativeAmers","1.0","Brightman","M-W","03:10PM","04:30","TBA",NA
"91","20504","CRWR","211","S","Intro Poetry Writing","1.0","Williams","M-W","03:10PM","04:30","PHYSIC","121"
"92","10516","CRWR","221","F","Intro to Fiction Writing","1.0","Hillis","M-W-F","11:00AM","11:50","PHYSIC","121"
"93","20642","CRWR","241","S","Intermediate Poetry: StudioII","1.0","Williams","T-Th","02:40PM","04:00","PHYSIC","121"
"94","10517","CRWR","250","F","Intro to ScreenwritingWrkshop","1.0","Hillis","W","06:10PM","09:00","VOLLUM","228"
"95","10518","CRWR","331","F","Adv Poet Writng: SequentVoice","1.0","Williams","T","07:10PM","10:00","VOLLUM","234"
"96","20506","CRWR","331","S","Adv Poet Writing:NaturalVoice","1.0","Williams","M","07:10PM","10:00","VOLLUM","234"
"97","10519","CRWR","332","F","Advanced Fiction Writing","1.0","Hillis","T-Th","06:10PM","07:30","ELIOT","317"
"98","20507","CRWR","332","S","Advanced Fiction Writing","1.0","Hillis","T-Th","06:10PM","07:30","ELIOT","405"
"99","10119","DANC","110","Y","Basic Technique","1.0","Mann","M-W","04:40PM","06:00","SPORTS","GYMII"
"100","10121","DANC","210","Y","Technique, Design  and Compostion","1.0","Wong","T-Th","01:10PM","02:30","SPORTS","GYMII"
"101","20672","ANTH","374","S","Urban Anthropology","1.0","Silverstein","T-Th","09:00AM","10:20","VOLLUM","120"
"102","20627","DANC","252","S","Improvisation","0.5","Mann","T-Th","05:10PM","06:30","SPORTS","GYMII"
"103","10639","DANC","311","F","Adv Techniques  and  CompositionI","1.0","Mann","T-Th","05:10PM","06:30","SPORTS","GYMII"
"104","20655","DANC","312","S","Adv Technique  and  CompositionII","1.0","Wong","T-Th","02:40PM","04:00","SPORTS","GYMII"
"105","10631","DANC","330","F","Dance Theory and Criticism","1.0","Wong","M-W","03:10PM","04:30","ELIOT","126"
"106","10324","ECON","201","F01","Intro to Economic Analysis","1.0","Clausing","M-W-F","10:00AM","10:50","VOLLUM","116"
"107","10325","ECON","201","F02","Intro to Economic Analysis","1.0","Clausing","M-W-F","11:00AM","11:50","VOLLUM","116"
"108","10326","ECON","201","FL1","Intro to Economic Analysis","0.0","Clausing","Th","03:10PM","04:00","ELIOT","314"
"109","10327","ECON","201","FL2","Intro to Economic Analysis","0.0","Clausing","Th","04:10PM","05:00","ELIOT","314"
"110","20319","ECON","201","S01","Intro to Economic Analysis","1.0","Netusil","M-W-F","10:00AM","10:50","VOLLUM","116"
"111","20320","ECON","201","S02","Intro to Economic Analysis","1.0","Netusil","M-W-F","11:00AM","11:50","VOLLUM","116"
"112","10578","ANTH","211","F02","Introduction to Anthropology","1.0","Makley","T-Th","01:10PM","02:30","VOLLUM","120"
"113","10583","ANTH","378","F","Nature, Cult  and Envirnmentalism","1.0","Brightman","T","07:10PM","10:00","ELIOT","414"
"114","20321","ECON","201","SL1","Intro to Economic Analysis","0.0","Netusil","Th","03:10PM","04:00","ELIOT","314"
"115","20322","ECON","201","SL2","Intro to Economic Analysis","0.0","Netusil","Th","04:10PM","05:00","ELIOT","314"
"116","10584","ECON","311","F","Survey of Econometric Methods","1.0","Netusil","M-W-F","10:00AM","10:50","VOLLUM","120"
"117","20574","ECON","312","S","Theory and  Practice Econometrics","1.0","Parker","M-W-F","09:00AM","09:50","VOLLUM","116"
"118","10585","ECON","313","F","Microeconomic Theory","1.0","Despins","M-W-F","09:00AM","09:50","VOLLUM","234"
"119","20576","ECON","314","S","Macroeconomic Theory","1.0","Parker","M-W-F","11:00AM","11:50","VOLLUM","120"
"120","20580","ECON","331","S","History of Economic Thought","1.0","Clausing","M-W-F","01:10PM","02:00","VOLLUM","134"
"121","10587","ECON","341","F","Monetary and Fiscal Policy","1.0","Parker","T-Th","01:10PM","02:30","VOLLUM","228"
"122","10589","ECON","342","F","International Macroeconomics","1.0","Clausing","M-W-F","01:10PM","02:00","VOLLUM","134"
"123","20585","ECON","348","S","Economics of the PublicSector","1.0","Netusil","M-W-F","02:10PM","03:00","VOLLUM","116"
"124","10586","ANTH","392","F01","Structuralism and Semiotics","1.0","Stasch","T-Th","01:10PM","02:30","VOLLUM","134"
"125","10590","ECON","351","F","Environment  and  Nat Resrce Econ","1.0","Netusil","M-W-F","02:10PM","03:00","VOLLUM","116"
"126","10591","ECON","382","F","Economics of Development","1.0","Despins","M-W-F","11:00AM","11:50","VOLLUM","234"
"127","20582","ECON","383","S","International Trade","1.0","Clausing","M-W-F","10:00AM","10:50","VOLLUM","234"
"128","10592","ECON","401","F","Seminar: Unemployment","0.5","Parker","M-W-F","12:00PM","12:50","VOLLUM","234"
"129","20602","ECON","413","S","Economics  and  Game Theory","1.0","Despins","T-Th","09:00AM","10:20","VOLLUM","234"
"130","20592","ECON","442","S","Econ Envirn, Intl Trade,Devel","1.0","Despins","T-Th","10:30AM","11:50","VOLLUM","234"
"131","10597","ECON","454","F","Economic Growth","1.0","Parker","M-W-F","10:00AM","10:50","VOLLUM","234"
"132","10503","ENG","201","F01","Intro Narr:Native AmericanLit","1.0","Arnold","M-W","03:10PM","04:30","VOLLUM","116"
"133","10774","ENG","201","F02","Intro Narr: Telling Lives","1.0","Leveen","M-W-F","01:10PM","02:00","VOLLUM","309"
"134","20508","ENG","201","S","Intro Narrative: The Essay","1.0","Duquette","M-W-F","01:10PM","02:00","VOLLUM","110"
"135","10593","ANTH","392","F02","Structuralism and Semiotics","1.0","Stasch","T-Th","02:40PM","04:00","VOLLUM","134"
"136","10504","ENG","205","F01","Intro Fict:Colonl and LaterNovels","1.0","Gillcrist","T-Th","10:30AM","11:50","ELIOT","416"
"137","10505","ENG","205","F02","Intro Fict:Portraits ofLadies","1.0","King","T-Th","10:30AM","11:50","PSYCH","108"
"138","20509","ENG","205","S","Intro Fict: The Short Story","1.0","Baker","M-W-F","01:10PM","02:00","VOLLUM","120"
"139","10506","ENG","211","F01","Intro to Poetry and Poetics","1.0","Steinman","T-Th","01:10PM","02:30","VOLLUM","110"
"140","10507","ENG","211","F02","Intro to Poetry and Poetics","1.0","Steinman","T-Th","02:40PM","04:00","VOLLUM","116"
"141","20510","ENG","211","S","Intro to Poetry and Poetics","1.0","Stauder","T-Th","01:10PM","02:30","PSYCH","103"
"142","10758","ENG","242","F","Intro to Drama: The 1990s","1.0","Savery","M-W-F","10:00AM","10:50","LIB","41"
"143","20511","ENG","242","S01","Intro Drama:Conventn  and Inovatn","1.0","Porter","T-Th","10:30AM","11:50","ELIOT","416"
"144","20512","ENG","242","S02","Intro Drama:Conventn  and Inovatn","1.0","Porter","T-Th","02:40PM","04:00","ELIOT","416"
"145","10508","ENG","301","F","Jun Sem: Epic and Novel","1.0","Sherman","T-Th","10:30AM","11:50","ELIOT","126"
"146","20660","ANTH","434","S","Theories of Culture","1.0","Brightman","W","07:10PM","10:00","ELIOT",NA
"147","20513","ENG","302","S","Jun Sem:Irony, Allegory, Epic","1.0","Knapp","W","07:10PM","10:00","VOLLUM","126"
"148","20647","ENG","303","S","Amer. Studies Seminar: TheEnd","1.0","Arnold","M-W","03:10PM","04:30","PSYCH","103"
"149","20514","ENG","333","S01","Fict:Wolff,Forster,Bloomsbury","1.0","Gillcrist","T-Th","10:30AM","11:50","ELIOT","405"
"150","20515","ENG","333","S02","Fict: Novel  and  Theory Mimesis","1.0","King","T","07:10PM","10:00","VOLLUM","126"
"151","20516","ENG","338","S","Mod Fict:Representing Mothers","1.0","Sherman","T-Th","10:30AM","11:50","ELIOT","126"
"152","10509","ENG","341","F01","American Lit: Race in America","1.0","Baker","M","06:10PM","09:00","VOLLUM","126"
"153","10510","ENG","341","F02","Amer Lit: The James Brothers","1.0","Duquette","M-W","03:10PM","04:30","ELIOT","405"
"154","20677","ENG","341","S","American Lit: Speaking ofRace","1.0","Leveen","Th","07:10PM","10:00","VOLLUM","110"
"155","10511","ENG","356","F","20th Cent African-Amercan Lit","1.0","Savery","M-W-F","11:00AM","11:50","LIB","41"
"156","10512","ENG","363","F","Love in Shakespeare","1.0","Porter","T-Th","02:40PM","04:00","PHYSIC","121"
"157","10458","ART","161","F01","Introductory Drawing","0.5","Knutson","M-W","01:10PM","04:00","ART","DRAW"
"158","20517","ENG","363","S","Skepticism in Shakespeare","1.0","Knapp","M-W-F","02:10PM","03:00","VOLLUM","126"
"159","10752","ENG","366","F","Poetry: Pound and H.D.","1.0","Stauder","T-Th","01:10PM","02:30","VOLLUM","118"
"160","20518","ENG","384","S","Poetry  and  History:Contemp Amer","1.0","Steinman","T-Th","02:40PM","04:00","VOLLUM","116"
"161","10514","ENG","393","F","Literary Theory:EthicsReading","1.0","Knapp","M-W-F","02:10PM","03:00","LIB","41"
"162","10136","FREN","110","Y01","First Year French","1.0",NA,NA,NA,NA,NA,"Hochman         M-T-W-Th-F11:00     ELIOT   207"
"163","10137","FREN","110","Y02","First Year French","1.0",NA,NA,NA,NA,NA,"Hochman         M-T-W-Th-F12:00     ELIOT   207"
"164","10138","FREN","110","Y03","First Year French","1.0",NA,NA,NA,NA,NA,"Khan            M-T-W-Th-F12:00     ELIOT   216"
"165","10139","FREN","210","Y01","Second Year French","1.0","Delehanty","M-W-F","10:00AM","10:50","VOLLUM","126"
"166","10140","FREN","210","Y02","Second Year French","1.0","Berkvam","M-W-F","11:00AM","11:50","VOLLUM","302"
"167","10141","FREN","210","Y03","Second Year French","1.0","Berkvam","M-W-F","12:00PM","12:50","VOLLUM","302"
"168","10459","ART","161","F02","Introductory Drawing","0.5","Ondrizek","T-Th","09:00AM","11:50","ART","DRAW"
"169","10142","FREN","320","Y","Stylistics and Composition","1.0","Khan","M-W-F","11:00AM","11:50","VOLLUM","118"
"170","10495","FREN","332","F","Lit  and  Society (16th Century)","1.0","Berkvam","T-Th","01:10PM","02:30","VOLLUM","302"
"171","20493","FREN","334","S","Lit  and  Society (18th Century)","1.0","Berkvam","T-Th","01:10PM","02:30","VOLLUM","302"
"172","20494","FREN","341","S","Early Modern French Narrative","1.0","Khan","M-W","03:10PM","04:30","LIB","203"
"173","20495","FREN","351","S","17th Cent French Drama","1.0","Delehanty","T-Th","02:40PM","04:00","VOLLUM","118"
"174","20496","FREN","381","S","20th C French Poetry  and Poetics","1.0","Hochman","M-W-F","02:10PM","03:00","VOLLUM","302"
"175","10496","FREN","382","F","20th Century French Theatre","1.0","Khan","T-Th","02:40PM","04:00","VOLLUM","309"
"176","10497","FREN","451","F","Seminar:Uses of Literature","1.0","Hochman","M-W","03:10PM","04:30","VOLLUM","118"
"177","10143","GER","110","Y01","Frst Yr German:A Foundation","1.0",NA,NA,NA,NA,NA,"Irmscher        M-T-W-Th-F11:00     ELIOT   414"
"178","10397","GER","110","Y02","Frst Yr German:A Foundation","1.0",NA,NA,NA,NA,NA,"Irmscher        M-T-W-Th-F12:00     ELIOT   414"
"179","20465","ART","162","S","Figure Drawing","0.5","Ondrizek","T-Th","09:00AM","11:50","ART","DRAW"
"180","10145","GER","220","Y","Secnd Yr Ger:CultralPerspctvs","1.0","Gokberk","M-W-F","01:10PM","02:00","VOLLUM","110"
"181","10498","GER","311","F","Adv Conversation and Writing","1.0","Mieszkowski","T-Th","01:10PM","02:30","ELIOT","419"
"182","20499","GER","312","S","Advancd Conversation and Writing","1.0","Irmscher","T-Th","02:40PM","04:00","ELIOT","419"
"183","20497","GER","321","S","Modernism: Berlin","1.0","Gokberk","M-W","03:10PM","04:30","VOLLUM","116"
"184","20502","GER","335","S","Contemporary German Prose","1.0","Gokberk","Th","06:40PM","09:30","ELIOT","419"
"185","10501","GER","341","F","Modern German Theatre","1.0","Rudolf","M-W","03:10PM","04:30","ELIOT","419"
"186","10499","GER","391","F","German Thought Postmodrn Era","1.0","Irmscher","T-Th","02:40PM","04:00","ELIOT","414"
"187","20500","GER","392","S","German Theory II: Body Media","1.0","Mieszkowski","W","06:10PM","09:00","ELIOT","414"
"188","10146","GRK","110","Y","First Year Greek","1.0",NA,NA,NA,NA,NA,"Nicholson       M-T-W-Th-F11:00     VOLLUM  309"
"189","10147","GRK","210","Y","Second Year Greek","1.0","Wolfe","M-T-W-Th","01:10PM","02:00","VOLLUM","234"
"190","20466","ART","164","S","Printmaking","0.5","Knutson","M-W","01:10PM","04:00","ART","PRINT"
"191","10487","GRK","311","F","Advanced Greek","1.0","Tron","T-Th","04:10PM","05:30","VOLLUM","134"
"192","20485","GRK","312","S","Advanced Greek","1.0","Nicholson","T-Th","09:00AM","10:20","VOLLUM","134"
"193","20628","HIST","220","S","Late Imperial China","1.0","Fix","M-W-F","01:10PM","02:00","ELIOT","414"
"194","10643","HIST","221","F","Modern China","1.0","Fix","M-W-F","10:00AM","10:50","ELIOT","414"
"195","10644","HIST","275","F","Cultr  and  Society 19 CentAmerca","1.0","Dirks","M-W","03:10PM","04:30","VOLLUM","110"
"196","20629","HIST","276","S","Culture and Society 20 Cent Amer","1.0","Dirks","M-W","03:10PM","04:30","VOLLUM","110"
"197","10784","HIST","281","F","Introduction to Judaism","1.0","McCalla","M-W-F","11:00AM","11:50","ELIOT","314"
"198","10645","HIST","308","F01","Spcl Tops: Vietnam War","1.0","Segel","M-W-F","01:10PM","02:00","VOLLUM","120"
"199","10646","HIST","308","F02","Spcl Tops: Vietnam War","1.0","Segel","M-W-F","02:10PM","03:00","VOLLUM","120"
"200","10647","HIST","322","F","Subaltern Stds Historiography","1.0","Fix","M-W-F","01:10PM","02:00","ELIOT","414"
"201","10453","ART","201","F","Introduction to Art History","1.0","Diebold","T-Th","09:00AM","10:20","LIB","41"
"202","20630","HIST","325","S","The Family in China and Japan","1.0","Fix","T-Th","01:10PM","02:30","ELIOT","405"
"203","10648","HIST","335","F","Devel of Britain 1700-1830","1.0","Sacks","T-Th","10:30AM","11:50","VOLLUM","118"
"204","20631","HIST","343","S01","The Third Reich","1.0","Mueller","T-Th","10:30AM","11:50","WINCH","CPHT"
"205","20632","HIST","343","S02","The Third Reich","1.0","Mueller","T-Th","01:10PM","02:30","VOLLUM","120"
"206","20633","HIST","344","S01","The Russian Revolution","1.0","Smith","T-Th","10:30AM","11:50","PSYCH","103"
"207","20634","HIST","344","S02","The Russian Revolution","1.0","Smith","T-Th","02:40PM","04:00","PSYCH","103"
"208","10649","HIST","345","F","Weimar:State,Society  and Culture","1.0","Mueller","T-Th","01:10PM","02:30","ELIOT","405"
"209","10653","HIST","352","F","Old Regime France 1600-1750","1.0","Breen","M-W-F","02:10PM","03:00","LIB","203"
"210","20640","HIST","356","S","The French Enlightenment","1.0","Breen","M-W-F","02:10PM","03:00","LIB","203"
"211","20641","HIST","364","S","Civil War and Reconstruction","1.0","Iaccarino","M-W","03:10PM","04:30","VOLLUM","234"
"212","20461","ART","201","S01","Introduction to Art History","1.0","Diebold","M-W","03:10PM","04:30","LIB","41"
"213","20635","HIST","367","S01","Gender and History","1.0","Dirks","T-Th","01:10PM","02:30","ELIOT","414"
"214","20636","HIST","367","S02","Gender and History","1.0","Dirks","T-Th","02:40PM","04:00","ELIOT","414"
"215","10650","HIST","369","F","American Slavery","1.0","Iaccarino","M-W","03:10PM","04:30","VOLLUM","126"
"216","20637","HIST","384","S01","Mexico: Indepdence toRevolutn","1.0","Garrett","M-W","03:10PM","04:30","VOLLUM","228"
"217","20638","HIST","384","S02","Mexico: Indepdence toRevolutn","1.0","Garrett","T-Th","09:00AM","10:20","VOLLUM","228"
"218","10651","HIST","386","F","Mexico  and  the Spanish Conquest","1.0","Garrett","T-Th","09:00AM","10:20","VOLLUM","228"
"219","10800","HIST","386","F02","Mexico  and  the Spanish Conquest","1.0","Garrett","T-Th","10:30AM","11:50","VOLLUM","134"
"220","10490","HIST","393","F","Ancient History: Rome","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"221","20489","HIST","394","S","Specl Topics in Roman History","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"222","10652","HIST","411","F","Jun Sem: Depression Era U.S.","1.0","Dirks","T-Th","02:40PM","04:00","ELIOT","123"
"223","10579","ANTH","211","F03","Introduction to Anthropology","1.0","Stasch","T-Th","10:30AM","11:50","VOLLUM","116"
"224","20462","ART","201","S02","Introduction to Art History","1.0","Diebold","T-Th","10:30AM","11:50","LIB","41"
"225","20639","HIST","412","S","Sem: Comty, Auth, Cult15-1700","1.0","Sacks","T-Th","10:30AM","11:50","VOLLUM","134"
"226","10072","HUM","110","Y","West Humanities: Greece  and Rome","0.0","King","M-W-F","09:00AM","09:50","VOLLUM","VLH"
"227","10148","HUM","110","Y01","West Humanities: Greece  and Rome","0.0","Arnold","M-W-F","10:00AM","10:50","ELIOT","121"
"228","10149","HUM","110","Y02","West Humanities: Greece  and Rome","0.0","Drumm","M-W-F","10:00AM","10:50","ELIOT","123"
"229","10150","HUM","110","Y03","West Humanities: Greece  and Rome","0.0","Englert","M-W-F","10:00AM","10:50","ELIOT","126"
"230","10151","HUM","110","Y04","West Humanities: Greece  and Rome","0.0","Sherman","M-W-F","10:00AM","10:50","ELIOT","317"
