"team_api_id","total_goals","team_long_name","buildup_ovr","chance_ovr","defence_ovr"
8534,86,"Empoli",145,186,164
8535,440,"Fiorentina",121,172,184
8537,66,"Livorno",183,172,163
8540,351,"Palermo",168,165,152
8543,417,"Lazio",188,220,190
8548,324,"Rangers",153,210,200
8549,28,"Middlesbrough",144,190,147
8550,31,"FC Metz",152,175,150
8551,149,"Siena",144,183,160
8558,338,"RCD Espanyol",146,196,180
8559,181,"Bolton Wanderers",167,185,154
8560,316,"Real Sociedad",162,171,171
8564,496,"Milan",170,177,164
8569,190,"GKS Belchatów",143,175,200
8571,267,"KV Kortrijk",129,159,185
8573,102,"KV Oostende",155,140,133
8576,116,"AC Ajaccio",168,180,140
8581,241,"Levante UD",171,182,155
8583,168,"AJ Auxerre",168,164,145
8586,481,"Tottenham Hotspur",133,210,181
8588,107,"RC Lens",165,180,200
8592,462,"Olympique de Marseille",169,210,200
8593,647,"Ajax",117,199,193
8596,68,"Falkirk",NA,200,200
8597,346,"Kilmarnock",167,205,200
8600,415,"Udinese",205,199,160
8602,118,"Wolverhampton Wanderers",136,210,210
8603,225,"Real Betis Balompié",145,206,165
8611,509,"FC Twente",131,172,197
8613,51,"Boavista FC",153,128,148
8614,76,"Sparta Rotterdam",NA,140,90
8633,843,"Real Madrid CF",153,200,178
8634,849,"FC Barcelona",122,175,195
8635,427,"RSC Anderlecht",149,182,190
8636,496,"Inter",182,203,165
8639,450,"LOSC Lille",152,184,180
8640,652,"PSV",153,200,167
8649,192,"Ross County FC",153,153,143
8650,531,"Liverpool",171,180,172
8654,326,"West Ham United",184,171,140
8655,175,"Blackburn Rovers",185,185,160
8658,75,"Birmingham City",174,210,210
8659,305,"West Bromwich Albion",145,195,210
8661,238,"RCD Mallorca",172,163,156
8667,144,"Hull City",151,195,210
8668,439,"Everton",137,180,180
8673,409,"Legia Warszawa",141,170,195
8674,390,"FC Groningen",142,177,149
8678,45,"Bournemouth",139,200,210
8682,79,"Le Mans FC",NA,195,200
8686,530,"Roma",153,208,155
8689,378,"FC Lorient",158,180,200
8690,30,"Reggio Calabria",163,186,140
8696,160,"Racing Santander",147,205,168
8697,423,"SV Werder Bremen",174,216,205
8721,463,"VfL Wolfsburg",170,210,171
8722,226,"1. FC Köln",171,165,170
9746,30,"Le Havre AC",154,180,168
9747,122,"En Avant de Guingamp",169,170,145
9748,497,"Olympique Lyonnais",161,185,200
9761,294,"NAC Breda",153,141,143
9764,110,"Gil Vicente FC",176,152,149
9765,29,"Portimonense",NA,NA,NA
9768,411,"Sporting CP",178,204,174
9771,85,"União de Leiria, SAD",NA,150,154
9772,568,"SL Benfica",178,185,175
9773,541,"FC Porto",173,196,178
9776,29,"Eintracht Braunschweig",183,195,157
9777,77,"Servette FC",NA,175,170
9783,241,"RC Deportivo de La Coruña",157,187,154
9788,403,"Borussia Mönchengladbach",116,185,160
9789,551,"Borussia Dortmund",170,194,178
9790,344,"Hamburger SV",164,200,175
9791,403,"Heracles Almelo",147,173,169
9798,43,"Reading",144,210,200
9800,257,"St. Mirren",178,210,200
9803,343,"Roda JC Kerkrade",133,159,146
9804,241,"Torino",209,189,145
9807,148,"CF Os Belenenses",157,160,135
9809,71,"Naval 1° de Maio",NA,165,121
9810,296,"Eintracht Frankfurt",153,165,151
9817,40,"Watford",160,205,205
9823,653,"FC Bayern Munich",97,205,184
9824,100,"FC Vaduz",141,137,133
9825,573,"Arsenal",140,150,170
9826,119,"Crystal Palace",173,205,185
9827,404,"Girondins de Bordeaux",139,190,195
9829,287,"AS Monaco",168,165,205
9830,135,"FC Nantes",189,160,152
9831,342,"OGC Nice",175,165,210
9836,38,"Dijon FCO",154,165,149
9837,168,"Stade de Reims",154,165,140
9839,152,"VVV-Venlo",NA,164,155
9847,568,"Paris Saint-Germain",174,191,210
9850,160,"Norwich City",138,195,200
9851,367,"Stade Rennais FC",167,195,210
9853,371,"AS Saint-Étienne",165,175,148
9855,55,"Grenoble Foot 38",NA,195,195
9857,263,"Bologna",164,175,135
9858,34,"Brescia",141,180,155
9860,317,"Heart of Midlothian",168,210,200
9864,377,"Málaga CF",129,191,164
9865,202,"UD Almería",152,180,193
9867,40,"CD Tenerife",163,180,174
9868,38,"Xerez Club Deportivo",NA,159,165
9869,200,"Real Sporting de Gijón",153,185,195
9873,256,"Valenciennes FC",160,188,155
9874,246,"FC Sochaux-Montbéliard",164,184,165
9875,514,"Napoli",180,215,165
9876,145,"Hellas Verona",157,173,169
9878,27,"Pescara",152,180,145
9879,265,"Fulham",142,190,138
9880,98,"Cesena",143,170,145
9882,318,"Sampdoria",130,180,175
9885,543,"Juventus",105,195,169
9888,121,"Lecce",NA,175,165
9891,35,"Frosinone",157,156,193
9904,359,"Hannover 96",144,175,210
9905,320,"1. FSV Mainz 05",178,185,170
9906,524,"Atlético Madrid",157,206,160
9908,408,"FC Utrecht",152,182,159
9910,184,"RC Celta de Vigo",169,179,169
9911,72,"VfL Bochum",164,172,172
9912,29,"DSC Arminia Bielefeld",166,165,138
9925,695,"Celtic",180,205,200
9927,403,"Motherwell",172,205,200
9930,153,"FC Aarau",156,181,150
9931,619,"FC Basel",170,186,180
9938,438,"Dundee United",171,205,200
9941,339,"Toulouse FC",158,165,140
9956,429,"Grasshopper Club Zürich",164,184,160
9976,76,"Bari",157,193,161
9984,213,"KSV Cercle Brugge",145,200,195
9985,341,"Standard de Liège",161,182,205
9986,201,"Sporting Charleroi",160,148,210
9987,348,"KRC Genk",148,182,205
9989,113,"Lierse SK",171,169,159
9991,390,"KAA Gent",142,184,166
9993,174,"Beerschot AC",NA,185,210
9994,279,"Sporting Lokeren",159,154,200
9996,42,"Royal Excel Mouscron",150,150,140
9997,115,"Sint-Truidense VV",NA,154,150
9998,129,"RAEC Mons",160,168,138
9999,62,"KSV Roeselare",NA,125,205
10000,306,"SV Zulte-Waregem",147,153,200
10001,217,"KVC Westerlo",148,167,210
10003,233,"Swansea City",131,210,210
10167,272,"Parma",152,176,166
10172,115,"Queens Park Rangers",141,210,210
10179,371,"FC Sion",155,177,146
10189,426,"FC Schalke 04",143,195,185
10190,276,"FC St. Gallen",146,157,155
10191,279,"FC Thun",152,166,145
10192,529,"BSC Young Boys",172,202,170
10194,322,"Stoke City",138,195,153
10199,421,"FC Luzern",165,175,153
10205,364,"Villarreal CF",126,161,165
10211,93,"SC Beira Mar",NA,165,155
10212,316,"CS Marítimo",182,186,144
10213,26,"Amadora",NA,NA,NA
10214,332,"CD Nacional",167,165,156
10215,240,"Académica de Coimbra",150,172,151
10217,366,"ADO Den Haag",162,181,173
10218,154,"Excelsior",163,162,106
10219,153,"RKC Waalwijk",142,159,150
10228,470,"SC Heerenveen",150,171,183
10229,492,"AZ",154,185,184
10233,392,"Genoa",184,182,154
10235,489,"Feyenoord",154,165,160
10238,238,"Vitória Setúbal",149,165,140
10242,71,"ES Troyes AC",148,150,140
10243,468,"FC Zürich",157,165,163
10249,344,"Montpellier Hérault SC",162,160,210
10251,259,"Hibernian",148,200,200
10252,335,"Aston Villa",170,185,145
10260,582,"Manchester United",134,200,163
10261,324,"Newcastle United",152,195,161
10264,398,"SC Braga",145,166,150
10265,332,"Wisla Kraków",135,183,205
10267,484,"Valencia CF",116,185,175
10268,65,"Elche CF",171,165,158
10269,415,"VfB Stuttgart",168,200,175
10278,36,"Hércules Club de Fútbol",154,178,160
10281,170,"Real Valladolid",153,172,161
108893,21,"AC Arles-Avignon",156,141,158
158085,101,"FC Arouca",174,160,113
177361,33,"Termalica Bruk-Bet Nieciecza",NA,NA,NA
188163,34,"Tondela",NA,NA,NA
208931,37,"Carpi",190,160,141
274581,71,"Royal Excel Mouscron",150,150,140
